race,hours,age,parttime,educ,logwg,loghrwg,married,nevermar,sepdivw
1,40,36,0,16,5.952256,2.302585,1,0,0
1,58,27,0,13,6.175389,2.197225,1,0,0
1,40,40,0,12,6.214608,2.169054,1,0,0
1,38,34,0,16,6.215528,2.6632,1,0,0
1,40,30,0,12,5.382475,1.84055,1,0,0
1,40,37,0,12,5.890373,2.302585,1,0,0
1,35,39,0,9,6.696565,3.189888,1,0,0
1,70,36,0,12,6.309918,1.742969,1,0,0
1,40,29,0,15,6.540034,2.532903,0,1,0
1,43,35,0,9,5.846872,1.997418,1,0,0
1,48,44,0,12,6.620073,2.70805,1,0,0
1,35,54,0,16,6.64539,2.799022,1,0,0
1,7,21,1,14,7.20786,1.89712,0,1,0
1,40,44,0,14,6.60665,2.917771,1,0,0
1,40,46,0,14,6.252347,2.75684,1,0,0
1,0,32,0,10,4.50987,1.791759,1,0,0
1,40,41,0,12,6.255865,2.639057,1,0,0
1,40,48,0,12,5.598422,1.909543,1,0,0
1,60,41,0,12,6.323803,2.302585,1,0,0
1,32,29,0,14,5.939302,2.214846,0,0,1
1,40,25,0,12,5.871751,2.197225,1,0,0
1,35,52,0,16,6.868536,3.313188,1,0,0
1,40,22,0,12,5.818717,2.140066,0,1,0
1,40,52,0,14,5.664557,2.014903,1,0,0
1,7,20,0,12,2.525729,1.526056,0,1,0
1,40,32,0,12,6.567431,2.772589,1,0,0
1,43,40,0,12,6.252347,2.548718,1,0,0
1,45,40,0,12,6.259735,2.079442,1,0,0
1,84,43,0,9,4.15041,-0.280407,0,0,1
1,80,29,0,16,5.644634,0.9555114,1,0,0
1,40,54,0,7,5.948035,2.079442,1,0,0
1,10,18,1,11,3.537184,1.446919,0,1,0
1,38,47,0,12,6.09463,2.447551,0,0,1
1,45,31,0,16,5.703783,1.811562,1,0,0
1,44,28,0,12,6.656829,2.701361,1,0,0
1,48,29,0,12,6.070022,2.290006,0,1,0
1,45,42,0,16,6.134569,2.564949,1,0,0
1,44,36,0,12,6.175389,2.406044,1,0,0
1,45,33,0,14,6.432249,2.639057,1,0,0
1,45,26,0,12,6.278765,2.369205,0,1,0
1,45,33,0,14,6.197157,2.420368,1,0,0
1,35,20,0,12,5.664557,2.089392,0,1,0
1,40,45,0,14,5.952256,2.525729,1,0,0
1,45,25,0,12,5.952256,2.145593,1,0,0
1,40,30,0,12,5.703783,2.014903,1,0,0
1,44,27,0,12,5.900938,2.116748,1,0,0
1,39,18,0,12,5.156005,1.492443,0,1,0
1,40,52,0,12,6.214608,2.525729,1,0,0
1,65,52,0,16,6.540034,2.365647,1,0,0
1,50,43,0,17,6.909654,2.99763,1,0,0
1,32,23,1,12,5.564022,2.098286,1,0,0
1,48,30,0,18,5.952256,2.081055,0,1,0
1,25,55,1,17,6.511864,3.292988,1,0,0
1,40,39,0,16,6.951695,3.262816,1,0,0
1,40,45,0,14,6.357704,2.668824,1,0,0
1,40,23,0,16,6.309918,2.621039,0,1,0
1,60,30,0,12,5.457967,1.363623,0,1,0
1,48,43,0,12,6.999559,3.128358,1,0,0
1,40,28,0,12,5.595566,1.906687,0,1,0
1,50,23,0,12,5.940171,2.028148,0,1,0
1,46,44,0,12,5.145341,1.3167,1,0,0
1,40,64,0,16,6.083269,2.394389,0,0,1
1,50,55,0,18,7.050859,3.138836,1,0,0
1,10,18,1,11,4.055084,1.752499,0,1,0
1,40,58,0,16,6.252347,2.563468,1,0,0
1,40,33,0,16,6.357704,2.668824,1,0,0
1,40,49,0,8,5.846872,2.157993,1,0,0
1,40,38,0,14,5.952256,2.263376,1,0,0
1,40,38,0,16,5.986653,2.297774,1,0,0
1,40,39,0,16,6.181775,2.492895,1,0,0
1,40,46,0,11,5.441422,1.752542,1,0,0
1,4,23,1,12,3.944103,2.557809,0,1,0
1,24,18,1,11,4.828314,1.65026,0,1,0
1,60,46,0,18,6.357704,2.263359,1,0,0
1,46,43,0,12,6.377135,2.548494,1,0,0
1,42,43,0,12,6.511864,2.774195,1,0,0
1,40,36,0,14,5.93714,2.248261,1,0,0
1,60,40,0,16,6.706018,2.611674,1,0,0
1,60,46,0,12,5.664557,1.570212,0,0,1
1,42,20,0,12,7.161203,3.423533,0,1,0
1,45,51,0,12,6.862517,3.055855,1,0,0
1,20,29,1,8,4.748231,1.752499,1,0,0
1,50,30,0,12,6.694178,2.782155,1,0,0
1,60,29,0,16,6.357704,2.263359,0,1,0
1,40,64,0,12,6.42224,2.733361,0,0,1
1,20,18,1,11,5.298317,2.302585,0,1,0
1,50,28,0,12,5.595566,1.683543,1,0,0
1,40,27,0,12,5.734086,2.045206,0,0,1
1,40,20,0,12,5.105946,1.417066,0,1,0
1,60,44,0,15,6.214608,2.120264,1,0,0
1,22,22,1,15,5.154274,2.063231,1,0,0
1,41,25,0,12,5.170995,1.457423,0,1,0
1,32,21,1,12,5.189674,1.723938,0,1,0
1,24,29,0,12,5.372264,2.194211,0,1,0
1,60,22,0,12,6.134569,2.040224,0,1,0
1,48,24,0,15,5.952256,2.081055,0,1,0
1,40,25,0,12,5.976934,2.288055,0,0,1
1,50,32,0,18,6.81724,2.905216,1,0,0
1,64,38,0,14,6.566729,2.407845,1,0,0
1,40,31,0,16,6.047561,2.358682,1,0,0
1,45,35,0,12,6.323803,2.517141,1,0,0
1,48,39,0,10,5.846872,1.975671,1,0,0
1,80,45,0,12,4.748231,0.3662044,1,0,0
1,40,40,0,13,6.173786,2.484907,1,0,0
1,40,41,0,12,5.80673,2.117851,1,0,0
1,21,25,1,12,5.81589,2.771368,0,1,0
1,32,24,0,12,6.119308,2.653572,1,0,0
1,39,40,0,12,5.789715,2.126154,1,0,0
1,55,42,0,12,6.868536,2.861203,1,0,0
1,50,37,0,16,6.175389,2.263366,0,1,0
1,45,36,0,10,6.109248,2.302585,1,0,0
1,40,38,0,15,6.511864,2.822985,1,0,0
1,40,44,0,16,7.561673,3.872793,1,0,0
1,3,41,1,12,7.244227,6.145615,1,0,0
1,30,41,1,3,4.983607,1.582409,0,1,0
1,40,48,0,16,6.248642,2.559763,1,0,0
1,40,59,0,12,6.357704,2.668824,1,0,0
1,55,25,0,16,6.113505,2.106172,0,1,0
1,50,40,0,12,6.319977,2.407954,0,0,1
1,45,54,0,12,5.649362,1.842699,1,0,0
1,37,56,0,13,6.868536,3.257618,1,0,0
1,40,55,0,8,5.798517,2.109637,1,0,0
1,52,29,0,14,5.441422,1.490178,1,0,0
1,40,53,0,12,6.134569,2.445689,1,0,0
1,48,34,0,13,4.624973,0.7537718,1,0,0
1,40,42,0,12,6.42224,2.733361,1,0,0
1,40,38,0,13,6.134569,2.445689,1,0,0
1,40,25,0,11,5.616771,1.927892,0,1,0
1,40,51,0,16,6.412836,2.723956,0,0,1
1,10,23,1,13,6.056972,3.754386,0,1,0
1,40,59,0,12,6.64539,2.956511,1,0,0
1,42,55,0,16,6.670082,2.932412,1,0,0
1,42,25,0,14,6.357704,2.620034,0,1,0
1,40,55,0,13,6.511864,2.822985,1,0,0
1,42,39,0,12,6.64539,2.90772,1,0,0
1,40,50,0,12,5.895669,2.20679,1,0,0
1,40,57,0,18,7.050859,3.36198,1,0,0
1,40,59,0,12,5.441422,1.752542,1,0,0
1,45,43,0,16,6.763169,2.956506,1,0,0
1,40,36,0,12,6.134569,2.445689,0,0,1
1,60,32,0,14,6.175389,2.081044,1,0,0
1,17,26,1,12,6.214608,3.381395,1,0,0
1,55,29,0,12,5.895036,1.887703,1,0,0
1,16,61,1,12,5.090678,2.318089,0,0,1
1,45,39,0,16,6.763169,2.956506,1,0,0
1,60,34,0,18,6.214608,2.120264,1,0,0
1,42,54,0,16,6.070022,2.332352,1,0,0
1,40,38,0,12,6.288713,2.599834,0,0,1
1,57,49,0,12,6.155177,2.112125,0,0,1
1,42,30,0,14,6.061107,2.323438,0,1,0
1,45,23,0,17,4.391605,0.5849431,0,1,0
1,60,27,0,14,6.175389,2.081044,0,1,0
1,45,25,0,16,5.926926,2.397895,0,1,0
1,45,21,0,12,5.729093,2.068128,0,1,0
1,30,25,1,16,5.668052,1.386294,0,1,0
1,30,22,1,15,5.729093,1.94591,0,1,0
1,37,30,0,16,5.846872,1.89712,0,1,0
1,60,59,0,13,6.175389,2.081044,1,0,0
1,50,36,0,12,6.594099,2.564949,1,0,0
1,42,40,0,12,6.616601,2.639057,1,0,0
1,40,54,0,8,6.288713,2.60269,1,0,0
1,40,23,0,14,5.783825,2.091864,0,1,0
1,25,42,1,18,6.159666,2.890372,0,1,0
1,40,44,0,16,6.858439,3.218876,0,0,1
1,27,40,1,12,5.334263,2.484907,1,0,0
1,20,59,1,16,5.601491,2.605759,1,0,0
1,10,63,1,8,5.116016,2.813431,1,0,0
1,60,55,0,16,4.565909,0.4715649,1,0,0
1,45,23,0,16,3.872866,0.0662038,0,1,0
1,55,29,0,16,6.029194,2.021861,1,0,0
1,50,37,0,18,6.594099,2.682076,0,1,0
1,50,33,0,18,6.001043,2.08902,0,1,0
1,40,44,0,10,6.252751,2.563872,1,0,0
1,40,22,0,12,5.336047,1.647167,0,1,0
1,35,47,0,11,5.588409,2.033061,0,0,1
1,40,26,0,9,5.991465,2.302585,0,1,0
1,49,32,0,11,6.142854,2.251034,1,0,0
1,40,28,0,10,6.42224,2.733361,1,0,0
1,55,48,0,12,6.540034,2.532701,1,0,0
1,40,26,0,14,6.214608,2.525729,0,1,0
1,45,25,0,13,5.813145,2.006482,1,0,0
1,62,29,0,14,6.878481,2.751347,1,0,0
1,40,38,0,12,6.694178,3.005299,1,0,0
1,40,32,0,12,6.482878,2.793998,1,0,0
1,50,34,0,14,6.511864,2.599841,1,0,0
1,40,34,0,13,6.740696,3.051817,1,0,0
1,50,26,0,8,5.536744,1.624721,0,1,0
1,40,24,0,12,5.515725,1.826845,1,0,0
1,40,42,0,16,6.763169,3.074289,1,0,0
1,40,51,0,15,6.175389,2.48651,1,0,0
1,40,42,0,12,6.472439,2.78356,1,0,0
1,24,18,1,11,5.035978,1.857924,0,1,0
1,40,59,0,5,5.298317,1.609438,1,0,0
1,55,39,0,14,5.789715,1.782382,0,0,1
1,36,30,0,12,6.047561,2.464042,0,1,0
1,50,48,0,18,6.763169,2.851146,1,0,0
1,40,48,0,16,7.561673,3.872793,1,0,0
1,40,23,0,16,6.684612,2.995732,0,1,0
1,32,21,1,14,6.39693,2.931194,0,1,0
1,40,62,0,14,6.64539,2.956511,1,0,0
1,24,50,1,10,6.377135,3.199081,1,0,0
1,24,24,1,12,5.664557,2.486503,0,1,0
1,55,53,0,16,6.635343,2.62801,1,0,0
1,65,32,0,17,6.838073,3.36211,0,1,0
1,40,23,0,13,6.116179,2.484907,0,1,0
1,45,25,0,13,6.39693,2.4681,1,0,0
1,60,37,0,16,6.878481,2.944439,1,0,0
1,30,31,0,14,6.868536,2.590267,0,1,0
1,40,46,0,12,6.64539,2.788093,1,0,0
1,48,22,0,11,6.364355,2.327278,0,1,0
1,40,51,0,14,7.075547,3.179095,1,0,0
1,40,24,0,16,6.047561,2.525729,0,1,0
1,48,42,0,16,6.717708,2.931194,1,0,0
1,55,39,0,14,6.595671,2.68444,0,1,0
1,40,63,0,18,6.42224,2.426113,1,0,0
1,40,30,0,16,6.717708,2.70805,1,0,0
1,40,41,0,16,7.130899,3.442019,0,0,1
1,50,26,0,12,6.001043,2.08902,1,0,0
1,40,50,0,9,5.947225,2.258346,0,1,0
1,40,35,0,12,5.595566,1.906687,1,0,0
1,24,23,1,12,6.253829,3.075775,0,1,0
1,40,50,0,12,6.42224,2.733361,1,0,0
1,22,18,1,10,4.844502,1.75346,0,1,0
1,31,39,1,12,6.047561,2.613574,0,0,1
1,50,34,0,18,7.050859,3.138836,1,0,0
1,45,23,0,12,5.650065,1.843403,1,0,0
1,37,23,0,12,5.207791,1.596873,0,1,0
1,60,46,0,18,7.274001,3.179657,1,0,0
